timestamp,Accel_Time (s),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Time (s),X (hPa),Gyro_Time (s),Gyro_X (rad/s),Gyro_Y (rad/s),Gyro_Z (rad/s),LinAccel_Time (s),LinAccel_X (m/s^2),LinAccel_Y (m/s^2),LinAccel_Z (m/s^2),app,H,Inclination (degrees)
0,0.5042902652111181,-0.7790686134628543,7.665277602031067,6.186326192746003,-0.5660638333,1016.7933650000004,0.5130871554025803,-0.00048678329282540766,-0.0002844444032758681,0.00019675025807546582,0.5130871554025803,-0.008674538522117609,0.09177941784199532,0.1401066610221757,X,7.66752437883889,51.10268928620854
0,1.108011267035164,-0.7422573380716344,7.7237937672406005,6.421995458462275,0.4345121667,1016.7933650000003,1.1168081613436391,-0.00048689123017168665,-0.0002840001196723502,0.0001966970853726679,1.1168081613436391,-0.00867579882779528,0.09177941745483165,0.14010666102217662,X,7.730706484881968,51.55787206614147
1,1.7661631453475997,-0.7039640595717553,7.784308471618107,6.706331612342561,1.435551167,1016.7933650000002,1.7749600435445647,-0.00048738107094283933,-0.0002837939972551895,0.00019671226266970604,1.7749600435445647,-0.008679084737258253,0.09177941670759296,0.14010666102217564,X,7.7961229513544605,52.00811189597231
2,2.493095806522378,-0.6679784804575527,7.836304726140897,7.038127943686298,2.435670167,1016.7933650000001,2.5018927080674684,-0.0004884758852715193,-0.00028429954205087213,0.00019688309548071973,2.5018927080674684,-0.008685129832003832,0.0917794155765034,0.14010666102217068,X,7.853017311085603,52.38045645458437
3,3.261217422719276,-0.6436276233612668,7.858441985523344,7.337380735634896,3.436242167,1016.7933650000003,3.2700143267280293,-0.0004903206229468139,-0.0002861986390151327,0.000197319337190963,3.2700143267280293,-0.008693907695229028,0.0917794142548646,0.14010666102215932,X,7.879607775894678,52.52584028879774
4,4.040687884623405,-0.6360756563361356,7.833242143971482,7.487713001434749,4.436818167,1016.793365000001,4.049484789554069,-0.0004927762453842208,-0.00029023226198214433,0.00019811338198076213,4.049484789554069,-0.00870356810302099,0.09177941333549358,0.14010666102213992,X,7.858087875101965,52.2893185245614
4,4.832046285654826,-0.6387023176777668,7.759568259753293,7.432885518169897,4.987776167,1016.7933650000022,4.840843189578632,-0.0004951066406556968,-0.0002968002003189508,0.00019925517989243273,4.840843189578632,-0.00870905208016168,0.09177941399153669,0.14010666102211372,X,7.7869655121118235,51.62503429486305
5,5.661064896693951,-0.638523864473692,7.65491463543731,7.2266706343887845,5.988342167,1016.793365000004,5.6698617979463135,-0.000495610451498631,-0.00030521441797184154,0.0002004930819825358,5.6698617979463135,-0.008700834261094548,0.09177941803516325,0.14010666102208816,X,7.683321747531404,50.66694346063417
6,6.547163904764406,-0.6258844809841996,7.546096530210103,6.983964691592391,6.988921167,1016.793365000006,6.5559608013732475,-0.0004913601062743731,-0.00031260137674002006,0.00020115465897891882,6.5559608013732475,-0.008664795679421333,0.09177942764206215,0.1401066610220809,X,7.573781874765579,49.65853885477812
7,7.48764005278465,-0.5992938119498502,7.452042149953615,6.796639879844662,7.989493167,1016.7933650000077,7.4964369416458485,-0.00047837112418696595,-0.00031267146414359816,0.00019998767589423578,7.4964369416458485,-0.008584918137094421,0.09177944444643404,0.14010666102212263,X,7.477563930350069,48.78124067998132
8,8.466761303627283,-0.5656249090019355,7.376171318956469,6.698257113627975,8.990069167,1016.793365000007,8.475558182199538,-0.0004527030839023455,-0.0002949708295866735,0.00019515383823911933,8.475558182199538,-0.008451052638384861,0.09177946770257103,0.1401066610222558,X,7.39888767613992,48.07463329246998
9,9.467561894475836,-0.5343944636553862,7.314623634451126,6.678931838052868,9.990648167,1016.7933650000012,9.476358763520611,-0.0004130978896111327,-0.0002457908659471033,0.00018459671072881646,9.476358763520611,-0.008273901888489128,0.0917794913869252,0.14010666102252342,X,7.334771989914891,47.5079133539248
10,10.477096651431818,-0.5098745870294857,7.264516362684524,6.71009620800889,10.99122617,1016.793364999987,10.485893515055244,-0.00036561763594948556,-0.00015249882159374878,0.00016707557397609003,10.485893515055244,-0.00810768558809681,0.09177950062772772,0.14010666102294186,X,7.282715187232694,47.054368076539674
11,11.487572659224314,-0.4908293493322778,7.2228569134621745,6.76457952638308,11.99179917,1016.7933649999615,11.496369522607264,-0.0003234421575840942,-1.3325367897441073e-05,0.0001441367330799551,11.496369522607264,-0.008040048160987969,0.09177946883934043,0.1401066610234521,X,7.239631001953597,46.68456977835695
12,12.495486195023254,-0.47620424189457267,7.184253601624709,6.826623424444902,12.99238017,1016.7933649999253,12.504283062588675,-0.00029412215890660057,0.0001460260008861098,0.0001230672624613019,12.504283062588675,-0.008103982342678714,0.09177935843688659,0.14010666102385125,X,7.200017549741945,46.3493234323855
13,13.50015996958568,-0.4665493920368833,7.144628897736902,6.888550419319584,13.99295717,1016.793364999887,13.508956844311784,-0.0002730459803921653,0.0002722199852564673,0.00012029800666119093,13.508956844311784,-0.008213740401202178,0.09177912975689763,0.1401066610237204,X,7.159799080634128,46.011949718180105
14,14.50231676183643,-0.46136037568334265,7.1054740433713715,6.944012633195073,14.99391117,1016.7933649998685,14.511113645030266,-0.0002623229037048796,0.00032724775559346986,0.00015510580698141122,14.511113645030266,-0.008234228082615647,0.0917787640259616,0.14010666102239117,X,7.120403262052689,45.683017389050676
15,15.502990176730828,-0.45842717713463155,7.071787346877418,6.987411402615725,15.99410517,1016.79336499991,15.51178706805983,-0.0002828751488454848,0.00031376183819693695,0.00022270772478151876,15.51178706805983,-0.008083222460684021,0.09177830534716541,0.14010666101902772,X,7.0866579432859504,45.40210729232606
16,16.50296285887522,-0.45548275746717903,7.047101570621193,7.016704258380563,16.99468317,1016.79336500007,16.51175975666579,-0.0003469442550182865,0.00024073599443000232,0.00028165695214281444,16.51175975666579,-0.007771563349260351,0.09177792131283585,0.14010666101293487,X,7.061930704439667,45.19670048963731
17,17.502654802054696,-0.45194811738047413,7.031496120671883,7.033823443239301,17.99526317,1016.7933650004122,17.511451703696927,-0.0004341491159719324,0.00011820740124371593,0.00029343223162585906,17.511451703696927,-0.007392251486477106,0.09177796912041535,0.14010666100421262,X,7.046248447352943,45.06647768456532
18,18.502222655946415,-0.4491278774356387,7.022198592714978,7.0432753237268795,18.99596017,1016.7933650009724,18.51101955788442,-0.0005154507095428679,-1.3172944211718197e-05,0.0002616175614092902,18.51101955788442,-0.007057479272313868,0.0917790318039486,0.1401066609948219,X,7.036894365196557,44.98823756276791
19,19.501731720034318,-0.4486345322107208,7.014639252773031,7.050775986914391,19.99641417,1016.793365001694,19.510528618009488,-0.0005816402341864423,-0.00010379126136759553,0.0002160516631184531,19.510528618009488,-0.006848974839693177,0.09178185838937064,0.14010666098994998,X,7.029339354664367,44.92411265400361
20,20.50130240246815,-0.4511535238449133,7.003940450320712,7.061619674683794,20.99699117,1016.7933650023355,20.51009929339672,-0.000634095428166839,-0.00013578924977317335,0.0001812011936786935,20.51009929339672,-0.006811665577086607,0.09178711042449578,0.14010666099920913,X,7.018635458387999,44.83384288143157
21,21.501095936772312,-0.4567365102012514,6.986781159829308,7.078949397617655,21.99756917,1016.7933650023631,21.50989282007249,-0.0006654777191864918,-0.00012849504642092763,0.0001680756026817182,21.50989282007249,-0.006936767493758088,0.09179480513386533,0.14010666103664826,X,7.001302084019692,44.68986930138708
22,22.501174839214436,-0.46535900671958985,6.96323355566308,7.102222004083342,22.99814317,1016.7933650008857,22.509971715998894,-0.000662650893383994,-0.00012123525860683743,0.0001754043186458625,22.509971715998894,-0.00718502468917034,0.09180338762887821,0.14010666111788117,X,6.977242321422222,44.491888186024305
23,23.501443655720436,-0.4765346471910218,6.938946161308668,7.125033254785529,23.99871717,1016.7933649967285,23.510240527779928,-0.0006253970034721961,-0.00014163268204045435,0.0001912480983768977,23.510240527779928,-0.007529956437510277,0.09180851094987086,0.1401066612521066,X,6.952011513716462,44.28563264350524
24,24.50171960447895,-0.4879554943163117,6.926912136438649,7.1331915315032655,24.99929917,1016.7933649887966,24.510516473236272,-0.000571782342177277,-0.00018477028777366496,0.00020298712486785525,24.510516473236272,-0.007923958321925783,0.09180190574528199,0.14010666142697065,X,6.93869572176677,44.179556580096055
25,25.50183284022356,-0.49693906887643513,6.944559500028196,7.107917730568006,25.99987917,1016.7933649769049,25.510629705905274,-0.0005224664309937239,-0.00022970798448085106,0.00020691114173265954,25.510629705905274,-0.008280443443660933,0.09177120591003074,0.1401066615859835,X,6.955020580258508,44.32215580232885
26,26.501724298913572,-0.5075152629842128,7.004816632212201,7.035791953920101,,1016.7933649631938,26.510521161356,-0.0004884076724951177,-0.0002632420457726472,0.0002058581976257603,26.510521161356,-0.008534372410056404,0.09170220397625464,0.1401066616026611,X,7.014140845497319,44.827288385999424
27,27.501507041774246,-0.5319920171392281,7.109460765979899,6.9170184967256425,27.00045017,1016.7933649540375,27.510303902361894,-0.00047300648752933043,-0.00028298431339100056,0.00020307508888374584,27.510303902361894,-0.008677450637117286,0.09158551830954567,0.14010666126363458,X,7.117749684480119,45.71669371960009
28,28.501385304036823,-0.5787996824703372,7.2490407905526535,6.767257546332193,28.00102517,1016.7933649619001,28.510182166611592,-0.00047781220466289436,-0.0002916585821270014,0.00020038433979350668,28.510182166611592,-0.008736163978099171,0.0914295898720227,0.1401066602845243,X,7.256344511235126,46.91737617040835
29,29.50147388821802,-0.641295473242764,7.404572525923914,6.616763673601104,29.00160217,1016.7933650058509,29.51027075703294,-0.0005051026547999671,-0.0002933785806415263,0.00019851432932011605,29.51027075703294,-0.008744209268294683,0.0912805170548265,0.14010665839480912,X,7.411368886921072,48.274168377811506
30,30.50171940957447,-0.7023372400061161,7.552692549233816,6.503353267235299,30.00218317,1016.7933651084965,30.510516286154036,-0.0005568357508120668,-0.0002917553837668759,0.0001975096129307959,30.510516286154036,-0.00872916793592237,0.09121653206050905,0.14010665553436163,X,7.5600522701314,49.590034002006
31,31.501965506856536,-0.7481480877634933,7.674343601986165,6.457508563739488,31.00275517,1016.7933652862357,31.510762389666738,-0.0006296637762633644,-0.0002892756341827883,0.00019705679650138322,31.510762389666738,-0.008708654912696292,0.09128051705482859,0.14010665219202822,X,7.683379984839083,50.69577530809036
