timestamp,Accel_Time (s),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Time (s),X (hPa),Gyro_Time (s),Gyro_X (rad/s),Gyro_Y (rad/s),Gyro_Z (rad/s),LinAccel_Time (s),LinAccel_X (m/s^2),LinAccel_Y (m/s^2),LinAccel_Z (m/s^2),app,H,Inclination (degrees)
0,0.5044169203667855,-0.38642598805135325,2.766343073435113,8.85840173564882,-0.588543,1016.5882870000003,0.5081849203669153,-0.0021312462136415787,-1.1726702073410898e-07,-0.0011838772613258545,0.5081849203669153,-0.023598811976013857,0.05116653367354266,0.1783595762909437,Red,3.1984029660560456,18.65776630624721
0,1.1081362824592436,-0.4879045190344578,3.182661674189556,8.85169952620969,0.412033,1016.5882870000003,1.1119042824594012,-0.0016430767583764008,-0.00027481092831627146,-0.0012875402245769564,1.1119042824594012,-0.02355731649443362,0.05115200367606407,0.17821305520505906,Red,3.4978346071085653,17.181019954851568
1,1.7662861338287266,-0.5689759786626387,3.6047802975834706,8.846708603963929,1.412612,1016.5882870000003,1.7700541338288391,-0.0010980935444949293,-0.0004994618008738015,-0.001396501254179004,1.7700541338288391,-0.023527619727533894,0.05114423280221675,0.17806573691390368,Red,3.8109703893653064,15.543176590751576
2,2.4932161570463482,-0.6245604264918643,3.990858520882289,8.845477846231482,2.41319,1016.5882870000003,2.4969841570462723,-0.0005713392042155024,-0.0006045707506407859,-0.0014974803735178707,2.4969841570462723,-0.023520236115289885,0.051146753088532844,0.17794285979749527,Red,4.1087978644338055,13.790408481257636
3,3.26133450729409,-0.6656095861223184,4.261673022168037,8.85188437362694,3.413763,1016.5882870000003,3.265102507293602,-0.00022806975000339713,-0.0005661013928727773,-0.0015576392498971021,3.265102507293602,-0.023555707815501658,0.0511655911541216,0.1778965524345383,Red,4.324824262276095,12.250130306646403
4,4.040801142621632,-0.6977640074248849,4.357763517133699,8.871508719024668,4.414343,1016.5882870000003,4.04456914262046,-0.00011893766311194813,-0.00045087593367534575,-0.0015605109528868974,4.04456914262046,-0.023664095458047294,0.05120829227246048,0.17795447007812867,Red,4.404854076400563,11.46400009560018
4,4.832155185890822,-0.7095186464850026,4.273797398436931,8.910012842371952,4.965291,1016.5882870000003,4.835923185888759,-4.730242938400133e-05,-0.00035565354655302673,-0.0015307375752645874,4.835923185888759,-0.023876071397382414,0.05127993265296775,0.17807989769108915,Red,4.340334924382183,11.911831308178336
5,5.661168928227265,-0.6904013501473533,4.061021345246759,8.969179815194112,5.965865,1016.5882870000003,5.664936928224391,0.0002054190293574117,-0.00032619901348050203,-0.0014974953713845173,5.664936928224391,-0.024201099260044816,0.051375140861620934,0.17821039818356413,Red,4.172019742925794,13.634733951357259
6,6.54726271164518,-0.6506654969620912,3.819860762575402,9.039965836692087,6.966445,1016.5882870000005,6.551030711642222,0.0005646984527003842,-0.0003391340512003393,-0.0014557421270579715,6.551030711642222,-0.02458921445523254,0.05146593668689305,0.178309635147192,Red,3.983595477739646,16.169694948713826
7,7.487733586716201,-0.6141251833830705,3.66032289794824,9.098598478918893,7.96702,1016.5882870000007,7.491501586714975,0.000670330358718396,-0.00032951378412466985,-0.0013838138514433319,7.491501586714975,-0.024918486838850607,0.051504958709306985,0.17837037407464237,Red,3.869012688971856,18.91411052294371
8,8.466849790150025,-0.5903466854678633,3.639948239603916,9.118464690095216,8.967593,1016.588287000001,8.470617790153794,0.00026427581815293045,-0.00025523304715307463,-0.0012715236150732058,8.470617790153794,-0.02505846302520484,0.051466282203664684,0.17839761846596394,Red,3.879997305067412,21.471732665976525
9,9.467645650338515,-0.5635988540976236,3.7390836881936633,9.09290756566895,9.968166,1016.5882870000012,9.471413650352472,-0.000525583399902571,-0.00014307638151440864,-0.001114920743186366,9.471413650352472,-0.024948865573433076,0.05137592621858383,0.17839745643709443,Red,4.001013392607366,23.644923642158545
10,10.477175965414684,-0.5181783806748885,3.885565247457047,9.043428628099704,10.969062,1016.5882870000012,10.480943965445928,-0.0014047376443692046,-5.8816177169326966e-05,-0.0009082061457990377,10.480943965445928,-0.024632984087196247,0.051281277242534916,0.17837171892173212,Red,4.165143226224693,25.26035563822153
11,11.487647802970175,-0.4623064487377422,4.002045727370402,9.002616900793468,11.969324,1016.588287000001,11.491415803023461,-0.002218161099008926,-6.023254106788527e-05,-0.0006624504917122525,11.491415803023461,-0.024241061976954865,0.051210191518912145,0.17831784679184937,Red,4.295954038894699,26.161638565094627
12,12.495557457630223,-0.4176197771860633,4.051074883851332,8.989527134127398,12.969898,1016.588287,12.499325457698681,-0.0029487456582619645,-0.00018655840788373918,-0.0004410750282852227,12.499325457698681,-0.02390512660268486,0.05116767977963842,0.178233655703283,Red,4.353127889834426,26.365243179718885
13,13.500227659633802,-0.40042464604481376,4.045343904543399,9.001668312626606,13.970475,1016.5882869999982,13.503995659695144,-0.0035753507790828682,-0.0004547701015595683,-0.0003548651651062028,13.503995659695144,-0.023682945435992905,0.05114800236508007,0.178127029830879,Red,4.344627158599642,26.0978576614521
14,14.502381221064008,-0.4192428330252832,4.020429474177882,9.025760686301526,14.971051,1016.588286999995,14.506149221088293,-0.003990149173951538,-0.0008358109669711676,-0.0004630349997896653,14.506149221088293,-0.023567671504206876,0.05114267290817427,0.1780300749193799,Red,4.301573947114244,25.645956774081867
15,15.50305182977362,-0.4770927508184031,4.0067049086277455,9.048847860762939,15.97163,1016.5882869999909,15.506819829724199,-0.004078960473958928,-0.0012098507060093458,-0.0006977374342887593,15.506819829724199,-0.023527631974523535,0.051144677071574676,0.1779959163815253,Red,4.253625486196629,25.226771952641815
16,16.503022256248123,-0.5679044226327213,4.018212718010236,9.06237749180925,16.97221,1016.5882869999873,16.50679025606645,-0.003891859060308739,-0.0013814182573508834,-0.000936442381883866,16.50679025606645,-0.023529451325678456,0.05115003101205236,0.1780535867532201,Red,4.220347832768525,24.960708676622946
17,17.502712599253595,-0.6724254156677723,4.051964628491306,9.064416367602957,17.972785,1016.5882869999871,17.50648059885551,-0.003631123646074605,-0.0012459755052990306,-0.0010995575110871363,17.50648059885551,-0.02354805601112072,0.05115777922148303,0.1781731384135681,Red,4.208803017461618,24.873806285103438
18,18.502279500306127,-0.7649764673670753,4.096563166462348,9.058166817012989,18.973356,1016.588286999995,18.506047499615818,-0.003436717341630655,-0.0009124132160890591,-0.001158084154339218,18.506047499615818,-0.023568564628591276,0.05116913454213081,0.17829646491318873,Red,4.216774281468569,24.930134139181447
19,19.501788100999082,-0.8273460104375456,4.143681728080633,9.04672233531006,19.973942,1016.5882870000178,19.505556100025984,-0.0032488840301178696,-0.0005738001543907487,-0.0011074068021419239,19.505556100025984,-0.023584318992960797,0.05118600470891275,0.17838280897592348,Red,4.239542498552984,25.084996755701567
20,20.501358604860012,-0.8543082474209978,4.189865659354182,9.031548714301254,20.974507,1016.5882870000612,20.505126603764037,-0.0028833652096143104,-0.00033388244097459926,-0.0009573781037624801,20.505126603764037,-0.023593854283063268,0.051208821449285756,0.17842160634659537,Red,4.271713101904463,25.299168323773742
21,21.501152151925318,-0.8494364646414361,4.229812855110618,9.015824059668269,21.975091,1016.5882870001271,21.504920150951687,-0.0022045627913723897,-0.00018588626381569896,-0.0007403877106089999,21.504920150951687,-0.023598249706833996,0.05123352711914449,0.17842607231993973,Red,4.3038812426195125,25.51254549214433
22,22.501231307034338,-0.8183809019251027,4.251603021602422,9.006863115841384,22.975666,1016.588287000204,22.504999306351223,-0.0012234240058950855,-5.5428102655696e-05,-0.0005349657801178579,22.504999306351223,-0.023599351650676812,0.051247908458237096,0.17841731096864827,Red,4.320296399298865,25.62464316617411
23,23.501500688102556,-0.7652021746252449,4.242280009901144,9.013048427636022,23.976239,1016.588287000257,23.505268687733082,-0.00010313664748180316,0.00015907421264348742,-0.0004581208968900757,23.505268687733082,-0.02359883566583661,0.05122831638540197,0.17840984207569438,Red,4.305144764222593,25.533355397432974
24,24.501777491163207,-0.6964729443554523,4.201105828921823,9.036239784797859,24.976817,1016.5882870002179,24.505545491040515,0.000892864500421025,0.0005311840159553271,-0.0005742316991252507,24.505545491040515,-0.023597864371327614,0.05113921507084363,0.17840792446195378,Red,4.25653913660674,25.225216817699618
25,25.501891753169573,-0.6270753709495943,4.146757986040984,9.067136281179772,25.977394,1016.5882869999809,25.5056597531991,0.0015711160436597145,0.0010466272345004087,-0.0008249095979368716,25.5056597531991,-0.023597075933000766,0.05093977090048128,0.1784064976797669,Red,4.194268920753512,24.826507869079965
26,26.501784301860145,-0.5767202059179272,4.110545258214369,9.089040899639112,26.977968,1016.5882869994196,26.5055523019508,0.001859871450284203,0.0015544253306744979,-0.0010916827405164438,26.5055523019508,-0.02359669909031788,0.05060316755185014,0.17839196645225372,Red,4.152036280926087,24.553523247863737
27,27.50156819076616,-0.5573169042782542,4.118117660060015,9.087878086031553,27.978546,1016.5882869984391,27.505336190848766,0.001640237414865515,0.0017991979658612235,-0.001286785343720894,27.505336190848766,-0.023596672037920312,0.05015414552528138,0.178343651166678,Red,4.1571108330213775,24.582371989720333
28,28.501447678762364,-0.5614598414606633,4.171249274394908,9.061589609886932,28.979124,1016.5882869970844,28.50521567880092,0.0008545353046999015,0.001629077294876384,-0.0013754546708475404,28.50521567880092,-0.023596714337313564,0.04972618525492671,0.178238174234441,Red,4.21058010571146,24.923612291369526
29,29.501537471436215,-0.5658574683419425,4.2473523257254575,9.021048694655342,29.979696,1016.588286995709,29.50530547142988,-0.0002455026304289007,0.001161032151752969,-0.001359654285438166,29.50530547142988,-0.02359635641759711,0.04954687158528678,0.17806004266262548,Red,4.287343640203514,25.420168734649092
30,30.501783979681306,-0.5511535303398529,4.318394705263276,8.980881150362753,30.980273,1016.5882869951822,30.505551979656577,-0.001291908423526433,0.0006418136073247377,-0.0012471958879670824,30.505551979656577,-0.02359497352311385,0.04974713268547493,0.17782161661341894,Red,4.35753434777182,25.881077857599372
31,31.502030709036145,-0.5150403819012438,4.371446050187085,8.947864608321877,31.980851,1016.5882869970553,31.505798709027996,-0.0021032391844773893,0.00023426951807369224,-0.001031236710203071,31.505798709027996,-0.023591903929940403,0.05021720634225561,0.1775934354912135,Red,4.408584209300195,26.22478015654733
32,32.50212054678051,-0.46409691042871337,4.415886002426965,8.917676093411147,32.981425,1016.588287003518,32.505888546809445,-0.0026708019000260676,-1.3902284518636532e-05,-0.0007031831015791357,32.505888546809445,-0.023586751191171516,0.050745112831737466,0.17749558723330902,Red,4.451019773362793,26.517591301130448
33,33.50199808979434,-0.4043645642776448,4.471205198134665,8.882692751383965,33.982006,1016.5882870168743,33.50576608985718,-0.0030163303013496117,-0.00010975554349542302,-0.00029153580296530085,33.50576608985718,-0.023579960462785057,0.05119861261909709,0.17759398103675228,Red,4.504634455257901,26.88255757862961
34,34.50177527579444,-0.3444739410768464,4.543223821022322,8.841123090892765,34.982579,1016.5882870382004,34.505543275872796,-0.003130865181043243,-7.070494112323919e-05,8.276639627060693e-05,34.505543275872796,-0.023573688007503858,0.05152582006174789,0.17782287184483359,Red,4.574979662130851,27.35403108701705
35,35.50165348091177,-0.29991426643324953,4.6147987187099675,8.799571883028154,35.983155,1016.5882870648936,35.505421480988126,-0.0030372893567241687,9.39146476979389e-05,0.0002240942645996452,35.505421480988126,-0.023572808692399957,0.05170451547913081,0.17806222517164813,Red,4.644963149758551,27.82652557968204
36,36.50174464879033,-0.2888481512861011,4.658709002042111,8.771712199304774,36.983736,1016.5882870871403,36.50551264886025,-0.0028498991383291918,0.00037678419605973997,5.241406612622292e-05,36.50551264886025,-0.023585592349436673,0.05176055028814704,0.1782413144986186,Red,4.688114767729904,28.126257584304245
37,37.501993354727276,-0.32054059094185894,4.660927953494016,8.769152408372538,37.984307,1016.5882870840746,37.50576135479864,-0.0026990396902392775,0.0007442129301212651,-0.00025521444010306204,37.50576135479864,-0.023623129604024285,0.05178348752072858,0.1783472049453405,Red,4.691389942055049,28.15331754115975
38,38.502242316069946,-0.38882354355946025,4.644138621377183,8.78321650140869,38.984881,1016.5882870216942,38.50601031615328,-0.002629976084957201,0.001089221190695658,-0.0004093388934603252,38.50601031615328,-0.023696099300934675,0.05185938580920436,0.17839430894861977,Red,4.677666098411064,28.046402572106153
39,39.50233455067792,-0.47438151519915367,4.656151718223851,8.785674663716673,39.985539,1016.5882868563997,39.50610255077389,-0.00260798273102341,0.001239676270432447,-0.00021843264261160294,39.50610255077389,-0.02380720659346819,0.0519850118125068,0.17840444005960523,Red,4.693604925327087,28.119396795094122
40,40.50221564755651,-0.55250051251043,4.72445269910674,8.755729606984785,40.986034,1016.5882865498406,40.50598364764672,-0.002603694031619687,0.0011031345943143971,0.0003417152516582083,40.50598364764672,-0.023938075155134908,0.05203002178598307,0.17839658191918464,Red,4.765019052734405,28.56065342146021
41,41.501999458930776,-0.6101751256917217,4.837296270202239,8.69657897546344,41.986613,1016.58828610145,41.50576745898804,-0.0026463115018563856,0.0007754655402960938,0.0010921960167763402,41.50576745898804,-0.024031272293952934,0.05180376809764646,0.17838342747538155,Red,4.879883524421847,29.301044395069255
42,42.50189003118071,-0.6540419848730112,4.95988304191426,8.628375504579388,42.987187,1016.5882856025594,42.505658031193384,-0.002745190042954569,0.0004294716978696529,0.0016503154303178808,42.505658031193384,-0.024005274303400787,0.051296578170854014,0.17837164558719215,Red,5.004997110502428,30.117764575805932
43,43.50200195780742,-0.6930876740918437,5.055891488924773,8.573532929374398,43.987766,1016.5882853074263,43.505769957789234,-0.002787557240295013,0.0001669296006609552,0.0016543957823688072,43.505769957789234,-0.023844162789473326,0.05080970299901014,0.17836361292355207,Red,5.105346692057497,30.77265872768078
44,44.50228082512755,-0.7178154040680829,5.103153219545226,8.5460036994983,44.988338,1016.5882856987987,44.5060488251063,-0.0026301350149680915,7.132364270516392e-06,0.001091042236001139,44.5060488251063,-0.023649898302644547,0.050666032207972805,0.1783592822869638,Red,5.157378098309184,31.108759157567544
45,45.50256599376798,-0.7004151085276659,5.096130007727458,8.54969652992642,45.98892,1016.5882874973965,45.506333993767285,-0.002250445865276208,-6.850859423502813e-05,0.00028364866061870937,45.506333993767285,-0.023536747186923775,0.05090359412775975,0.17835760344976778,Red,5.151570976553062,31.067839586239565
46,46.5026888332903,-0.6195428618080108,5.040866473182126,8.582001075224996,46.989492,1016.5882915293328,46.5064568333168,-0.001704623476734632,-8.66418642855264e-05,-0.000436547527156403,46.5064568333168,-0.023517166820742032,0.0513515611090816,0.17835737953468037,Red,5.090661783561534,30.67143437777888
47,47.50257058472991,-0.48794835026082733,4.952254955417636,8.63605668318099,47.990072,1016.5882983360575,47.50633858477046,-0.0010520994347512237,-6.628575609523283e-05,-0.0009287366509213429,47.50633858477046,-0.023532276642018447,0.05181483015116608,0.1783576686447251,Red,4.990464091426088,30.01820054490665
48,48.50228550819351,-0.3500931819287354,4.849976089929126,8.701424994765224,48.990648,1016.5883074155222,48.50605350822044,-0.00042593223404676506,-1.3953166463807768e-05,-0.001204306727135052,48.50605350822044,-0.023535255210943327,0.05214390580839628,0.1783579064122914,Red,4.875266217419572,29.259173611998353
49,49.50198679398088,-0.2513283381955414,4.7511040167273535,8.76612273322153,49.991225,1016.5883160659885,49.50575479396615,-0.00010472803535168602,7.333265340445541e-05,-0.0013390347048502919,49.50575479396615,-0.02352296068527426,0.05226493046207761,0.17835790477759378,Red,4.766522458382414,28.535842393838017
50,50.501744073006506,-0.21258130857747415,4.664471024254411,8.821516145302729,50.992122,1016.5883197094636,50.505512072943866,-0.0003889276678128116,0.00019854600663634663,-0.001417803599179026,50.505512072943866,-0.023525203957458392,0.05217799086148224,0.17835782663849212,Red,4.674690964758175,27.925523280162647
51,51.501501453809425,-0.2258921122098456,4.589341230168711,8.866334813901643,51.992384,1016.5883158292123,51.50526945373099,-0.0013273230891534492,0.0003490023766015203,-0.0015033561367580476,51.50526945373099,-0.023588570275419184,0.05194062842260035,0.1783581717741184,Red,4.5982574920526496,27.424751100067958
52,52.50120297208416,-0.26617907419518294,4.5195721098148836,8.904530799502623,52.992954,1016.5883069220753,52.5049709720598,-0.0026150139278075953,0.0004753938213543154,-0.0016143973877481958,52.5049709720598,-0.023766676322561867,0.05165652629921673,0.17835974655424344,Red,4.529375693606212,26.982627986857114
53,53.50091815239898,-0.3106834359717833,4.4515924016128645,8.939389116015404,53.993531,1016.5882975896648,53.504686152524194,-0.003774001592307359,0.0004979090073423749,-0.0017134692740583051,53.504686152524194,-0.024104266636061578,0.051422033242961185,0.17836353196232863,Red,4.4630626203850925,26.56209818869713
54,54.50080021201478,-0.34870536889653225,4.387365578381964,8.971301877581352,54.994107,1016.5882906440362,54.504568212392215,-0.004407233738128574,0.00037828543640044954,-0.0017262000971320776,54.504568212392215,-0.02460185640909213,0.05127357461769634,0.17837031935550712,Red,4.40052095414241,26.161385376422647
55,55.500923598662084,-0.37697553578264026,4.330505386235201,8.99949457224614,55.994679,1016.5882868191356,55.5046915993638,-0.004378018139851108,0.00017183331995894506,-0.0015826127433057641,55.5046915993638,-0.02515614721444172,0.05119439711668778,0.1783799730705816,Red,4.344994857831628,25.787302559670913
56,56.5012098379497,-0.3933865722876868,4.283737752450034,9.022961670150595,56.995258,1016.5882859310392,56.50497783894211,-0.003783545992264817,-1.2966220702831334e-05,-0.0012518013596428982,56.50497783894211,-0.02553196382284148,0.05114222889105183,0.17839024533392162,Red,4.299023189772894,25.439463540612387
57,57.50149059691248,-0.39468132238396336,4.2508227199523105,9.039452997360716,57.99583,1016.588287568748,57.50525859799345,-0.0027652571442590285,-4.330063799448001e-05,-0.0007744197251396528,57.50525859799345,-0.025486175735433044,0.051066971246784464,0.17839527190512672,Red,4.266373417090818,25.12721800191256
58,58.5016054638994,-0.3758265487448398,4.239310059812139,9.044210725748663,58.996408,1016.5882912870587,58.50537346476716,-0.0014720408627980999,0.00020710415526568944,-0.00027556800674109343,58.50537346476716,-0.024992647067941243,0.050924317060185575,0.1783842775385536,Red,4.254838972946499,24.897788026243713
59,59.50150015187997,-0.33028953432905017,4.2608766006226935,9.03006578357325,59.996988,1016.5882963569898,59.505268152310855,-0.00015159701625340783,0.0007476106875610294,8.377465662522024e-05,59.505268152310855,-0.024296928025781536,0.05069293062729696,0.17834163965989572,Red,4.276529431619424,24.85604934253325
60,60.50128930220396,-0.2529273201189523,4.328510701310479,8.989363853790989,60.997561,1016.588301174287,60.50505730216738,0.000853931225342226,0.00141504736736828,0.00020705460476100598,60.50505730216738,-0.02371037961500206,0.05040148818257859,0.17825020501025807,Red,4.344946951352612,25.170353416601465
61,61.50117698458367,-0.1484554021600921,4.450502662441313,8.917608379237928,61.998137,1016.5883033554892,61.50494498421825,0.0012033101125872062,0.0019503509358686998,0.00014517547723071858,61.50494498421825,-0.023387922618896044,0.050166957451461214,0.17810032205190773,Red,4.4689149116070315,26.058413176882624
62,62.50127708439645,-0.039472447162891604,4.618272296927711,8.820746720038981,62.998713,1016.588301644765,62.5050450838623,0.0008023980882548933,0.002143798259181163,5.838943574932387e-05,62.5050450838623,-0.023307564880816783,0.05015581596063844,0.17790681785997503,Red,4.640312926933518,27.716418534463216
63,63.50153516140776,0.043267476565363755,4.792790805946318,8.722730831914536,63.999291,1016.5882973374756,63.505303160709985,-3.181833705399425e-05,0.001956943581539337,5.474634389616565e-05,63.505303160709985,-0.023386431694763805,0.05040262803998929,0.1777341246278749,Red,4.8198773265607535,30.19323410778253
64,64.50179405864749,0.08398975554218259,4.913764755975221,8.65833493512154,64.999866,1016.588292770151,64.50556205760027,-0.0008526677462999616,0.001501465695435867,0.00010850396230329751,64.50556205760027,-0.023563391172467026,0.050743716078273444,0.17768947187091447,Red,4.944957100658369,33.3295260434124
65,65.50189623846313,0.08904369308397879,4.940591189591156,8.649656948539059,,1016.588289327844,65.50566423683401,-0.0014348550176063043,0.0009357990212879401,0.00018174374961935528,65.50566423683401,-0.0238055572616809,0.051010792123057605,0.17783812787934686,Red,4.968859354448197,36.768414941119744
66,66.50178608086058,0.07516481939609915,4.889196887798934,8.689985484230785,66.000842,1016.5882872787531,66.50555407862014,-0.0017860511325625368,0.0004147379723153842,0.00032404548718290623,66.50555407862014,-0.024079980390614486,0.0511622513856754,0.17813501288667974,Red,4.8971803258775735,39.975157862366565
67,67.50157546555607,0.058482396789893955,4.823053083850226,8.752108670964938,67.001017,1016.588286357672,67.50534346305857,-0.0019908404729186055,5.1538905441493964e-05,0.0005493865458559016,67.50534346305857,-0.024313843601774618,0.05122511689145488,0.1784729631847023,Red,4.781024407370024,42.426591667638064
68,68.50146580282522,0.04724689565114883,4.807309031322608,8.810179687888397,68.001596,1016.588286150762,68.50523380064129,-0.002106190725193586,-0.00012580355479795713,0.0007337540110967136,68.50523380064129,-0.024393126652250047,0.05123444829488394,0.17875746514625296,Red,4.677269638014232,43.900385413828815
69,69.50156905460351,0.03861709795808541,4.8730009849630225,8.85180247598315,69.002173,1016.588286294491,69.50533705311311,-0.0021554446873895262,-0.0001629860642924537,0.0007814103696574633,69.50533705311311,-0.02425333955098647,0.05121916302101782,0.17892629332941146,Red,4.6233470491588164,44.49978050863523
70,70.50182972146736,0.021996444790755822,5.005401782704782,8.874633631148914,70.002748,1016.5882865441822,70.50559772069252,-0.002158617464767098,-0.00012781293739764525,0.0007661386685191691,70.50559772069252,-0.023952509457161566,0.05119784054071051,0.1789501700575225,Red,4.6408077009791,44.44929882988968
71,71.50209039239407,-0.013382754308299487,5.156226795275368,8.879248280773725,71.003323,1016.5882867702414,71.50585839214514,-0.0021395112827543375,-7.324365593512015e-05,0.0007510126508305578,71.50585839214514,-0.023609434436410833,0.05117977976895517,0.17884654295561392,Red,4.742932278979062,43.92257620791765
72,72.50219401638971,-0.07122251271369562,5.2920199645702235,8.865062769377186,72.003902,1016.5882869255487,72.50596201643532,-0.0021230569923797464,-3.0787504380021475e-05,0.0006223312838013969,72.50596201643532,-0.023324339165799013,0.05116793958921369,0.17868134229018354,Red,4.930480541364378,42.95027357129991
73,73.50208620874355,-0.1493945282392273,5.415489869192023,8.829572267587052,73.004479,1016.5882870097438,73.5058542088946,-0.002136485261979549,-1.7349082656266982e-05,0.00027399678547637327,73.5058542088946,-0.023168704620166063,0.051161863206421396,0.1785263992550589,Red,5.173613202468995,41.45193328086349
74,74.50188085699698,-0.242227689458193,5.514946842405249,8.77107346962246,74.005057,1016.5882870418684,74.50564885713835,-0.0022098272674378854,-4.1225368219711665e-05,-0.0001908724869208871,74.50564885713835,-0.02316565409173903,0.0511598066119631,0.17841750768838027,Red,5.400048547693224,39.425571833444785
75,75.50178199393336,-0.33961491984371006,5.546407340562565,8.695074048330472,75.005631,1016.588287043837,75.50554999402065,-0.0023708982140065076,-0.00010374412765901579,-0.000577163671921431,75.50554999402065,-0.02327296833363614,0.051159964030405285,0.17835701425432282,Red,5.529305995375516,37.0871692812252
76,76.50190419961412,-0.431433804692336,5.4885840172055245,8.619214820666487,76.006205,1016.5882870328394,76.50567219964925,-0.0026299096289746442,-0.00019493590944716428,-0.0007873318335033061,76.50567219964925,-0.023429740703884292,0.051160989866202294,0.17833281608336563,Red,5.5321593485532725,34.792191450874775
77,77.50219313113335,-0.5091797041993474,5.370266890872174,8.56550678701755,77.006802,1016.5882870194777,77.50596113113596,-0.002950161739113515,-0.00028338710011942844,-0.0008466548309718482,77.50596113113596,-0.02360641288783344,0.0511620895981597,0.17833009690484486,Red,5.441998745824499,32.868282581825625
